"","beta_r2","beta_r3","beta_r4","beta_r5"
"1",-0.875459091257246,-1.776021574475,0.369703793989329,2.28177687174292
"2",-1.40062549360031,-0.140996778181909,0.172594239661547,1.36902803212067
"3",-1.52955214484164,0.033887568449449,0.168270505362681,1.32739407102951
"4",-0.855681512964638,-0.506236429378858,0.37768058359841,0.984237358745087
"5",-1.21585299577863,-0.50505353941598,0.271744368116723,1.44916216707788
"6",-1.52805215300081,-0.48586394747757,0.690456694994741,1.32345940548364
"7",-1.18508365475535,-0.681001144937373,0.619713006770764,1.24637179292196
"8",-1.31876766038348,-0.393290064122042,0.415182277469613,1.29687544703591
"9",0.504028554294153,-0.221867791191255,0.530310095076199,-0.812470858179097
"10",-1.9263979171043,-0.842609371144274,0.847690439829542,1.92131684841903
"11",-1.73930955248798,-0.495642800077204,0.685127000525441,1.54982535203974
"12",-1.89357291758969,-0.35777026360856,0.662082681429868,1.58926049976838
"13",-1.29084436872844,-0.321408633419148,0.472401122357611,1.13985187978998
"14",-1.16402885185029,-0.193089456954944,0.292324915349342,1.06479339345589
"15",-1.40459558698875,-0.504199783481617,0.519796054796689,1.38899931567368
"16",-1.27405549023793,-0.793733994007577,0.556023460938573,1.51176602330693
"17",-1.08494304622848,-0.707366974990255,0.00853814849516663,1.78377187272357
"18",-1.97067921484572,-0.404827589294056,0.546677381072509,1.82882942306726
"19",-1.63797047616575,-0.0662374999009256,0.723911285790156,0.980296690276521
