"","alpha_r"
"1",0.66688503956189
"2",1.59396849730705
"3",1.17348949758168
"4",1.42417033111065
"5",1.62683407360419
"6",1.11211161955254
"7",1.09132543988863
"8",0.854838717884534
"9",0.556569707374886
"10",0.99358049584759
"11",1.72374995983452
"12",1.65952261964715
"13",2.17687181379034
"14",3.84915093471519
"15",0.693066637129355
"16",1.42883235870078
"17",1.34055233216168
"18",1.89973812577354
"19",1.54208816868293
