"","theta"
"1",1.56907958239826
"2",0.586747297424379
"3",-1.71965113716917
"4",0.568748498178731
"5",0.497309045749402
"6",-0.822695288354555
"7",-0.417764553114193
"8",0.588194807060265
"9",1.57751989158605
"10",1.16789895540327
"11",1.6143666650987
"12",-0.587010106629204
"13",0.0038723999927944
"14",0.626468334482385
"15",-0.289882000144162
"16",0.14497538523519
"17",-0.541872365678321
"18",-0.139914431860586
"19",0.0263519526190472
"20",1.75920061937752
"21",-0.848976991107651
"22",0.36116352166045
"23",0.0719329495502367
"24",0.648158618080852
"25",0.626176111523503
"26",1.28148148967896
"27",-1.41799957983696
"28",0.416200165466844
"29",-0.755754798958745
"30",-0.383872125323182
"31",-0.612373034637341
"32",1.01648348554592
"33",-0.227526944398101
"34",0.705423806798017
"35",0.660076413058446
"36",0.297517115540127
"37",0.484889736237627
"38",1.38181811674791
"39",-1.97817232197465
"40",0.314413820798743
"41",-0.381891532281901
"42",0.441522051261686
"43",-0.272461605218505
"44",-1.96606951782979
"45",1.23871104278793
"46",-0.340640201184962
"47",1.24624866856299
"48",0.384054244817014
"49",-0.691206847392097
"50",0.685513894706997
"51",-0.991988355228539
"52",-1.11630088146801
"53",0.514017542687644
"54",-0.96035499384427
"55",-0.667846695364068
"56",0.615029214940766
"57",1.46470131981729
"58",0.753749291538363
"59",-1.16770538413273
"60",-0.376264014561434
"61",0.52688997106975
"62",0.0406565375393796
"63",1.05903695476683
"64",0.445518655592315
"65",-0.643458407490714
"66",0.418673583155743
"67",-0.254477826641641
"68",-0.153615823239882
"69",-0.962494604939227
"70",-0.786035578762693
"71",0.406330746829565
"72",0.311365483570955
"73",-0.395247484447271
"74",-0.172428143739813
"75",-1.43309253597835
"76",0.074319867903476
"77",-1.19520031641426
"78",0.117501662186428
"79",0.548605996880877
"80",-0.293304633746667
"81",-0.73933819897957
"82",0.285149369703553
"83",-2.6377820764583
"84",0.0677623260596555
"85",1.159708917637
"86",-0.153745007228521
"87",0.17743772627154
"88",0.0933336731396572
"89",-0.393685045062966
"90",0.166979916257601
"91",-0.911317370838911
"92",-0.598361570501442
"93",-1.14392875158962
"94",-0.413693048225829
"95",-0.409808156986698
"96",0.0636670920223176
"97",-0.427348902245567
"98",0.664530542265814
"99",0.816891924221629
"100",-1.07328874606921
"101",-0.477712046446572
"102",0.211014248950854
"103",-0.896448560459645
"104",-0.796863609894743
"105",-0.723265558801245
"106",-0.322963623869577
"107",-1.20923691666333
"108",-2.6244595690431
"109",-0.362358060548512
"110",0.434626756580895
"111",0.0795356225704534
"112",-0.798662339410774
"113",-0.568116365368475
"114",-0.611100672214137
"115",-0.0466737259500209
"116",-0.220121909308443
"117",-2.07172391660424
"118",-0.479782714642073
"119",0.36259082105376
"120",0.367710478727748
"121",-1.19028267863321
"122",0.612072467610605
"123",-0.104127616115281
"124",-0.889792408686647
"125",0.169765191926232
"126",-0.998976047591771
"127",1.53136965241529
"128",-0.706575716876862
"129",-0.824860060919868
"130",-0.16180746391355
"131",0.503939228621194
"132",-1.84728049683965
"133",0.781739041055924
"134",1.49682596976315
"135",0.18975618426197
"136",1.13790388621713
"137",0.0758116005353766
"138",1.53733056789118
"139",-0.206303465909997
"140",-1.42735789613242
"141",1.09560437485587
"142",-1.41757896094225
"143",-0.160476554133574
"144",0.304861590287392
"145",0.334849647049023
"146",1.5587270829105
"147",0.00784623027761779
"148",-0.595362991300206
"149",0.179020926118894
"150",1.36051468173908
"151",0.48868974230438
"152",0.275842924724813
"153",-0.0245308805043098
"154",0.418756757668616
"155",-0.0279313997394122
"156",-1.40596101244201
"157",1.53456538766168
"158",-0.422219915303147
"159",-0.0399681930823355
"160",0.173027565187583
"161",0.71747361967857
"162",0.0665871452227318
"163",-0.0408838138538986
"164",0.0460376299682217
"165",0.586179094951785
"166",-0.185054073714539
"167",0.0515848775177558
"168",-1.79044185343706
"169",-0.285106890970123
"170",1.2072457024429
"171",0.0926862094558406
"172",-2.10941994378934
"173",0.747071229826096
"174",-1.97225506520253
"175",1.00409030867891
"176",1.46533603938204
"177",0.397670005734392
"178",-1.13983584643244
"179",-0.0174379868761631
"180",-0.934519122726946
"181",0.020722902359567
"182",-0.466906557310591
"183",-0.321535907591695
"184",0.485855817904129
"185",-1.1573582351395
"186",1.4412453354567
"187",0.328164871081487
"188",-1.0975345232255
"189",0.883645968330035
"190",-0.462377789825207
"191",0.467583005035414
"192",0.455689408027134
"193",1.22872041319852
"194",-1.32684296195567
"195",-0.136684900151083
"196",-0.226919655774525
"197",0.736131339336926
"198",0.453744678621285
"199",-0.999664388009998
"200",0.194357982407097
"201",-0.994347583228093
"202",0.875977291718674
"203",1.60469939552663
"204",-0.0352778899432234
"205",0.188537083217914
"206",-1.79370160269114
"207",0.967443264537866
"208",0.104665148405795
"209",-0.831760308058007
"210",0.0988853392158114
"211",1.17646980814606
"212",0.708154805126477
"213",-1.42445771279177
"214",1.24057515865051
"215",-0.0274371089964484
"216",0.0222171693155549
"217",0.373066902628574
"218",-1.13315710319969
"219",1.5882503810359
"220",-0.515540859897153
"221",0.86689769920245
"222",0.345517398593003
"223",1.46952817678566
"224",-1.67614377775322
"225",0.895195841433857
"226",0.738042832328356
"227",0.10198798356743
"228",1.03811424367765
"229",-2.22491382540773
"230",0.124405075561145
"231",1.39875749753454
"232",-0.208740471786851
"233",-0.393723838018997
"234",-0.211018226896726
"235",-0.0283503376763617
"236",-0.725703117779314
"237",0.912063389532009
"238",0.976739581360253
"239",-0.628252292777337
"240",-0.0519193380821263
"241",-0.124364627235381
"242",0.594710761540765
"243",0.890222849413332
"244",-1.26933013118129
"245",-1.30872528663262
"246",0.263845383682649
"247",1.05278577045355
"248",0.766580172137542
"249",-0.587743957728258
"250",1.61386945770009
"251",-0.0643429313544093
"252",-1.08894914956024
"253",-0.664227691519493
"254",0.451787206075115
"255",-0.996928234312511
"256",-0.350180865808684
"257",-0.494651920854552
"258",0.0746378976424748
"259",0.426007931487619
