"","beta_r"
"1",-0.327548644453815
"2",-0.894264350951934
"3",-0.828030775714542
"4",-1.19945703006335
"5",-1.41181102854313
"6",-0.0556291474536066
"7",-1.05112122904289
"8",-0.612730686815172
"9",-0.575379425821198
"10",-0.564940276834272
"11",0.298013229166429
"12",-0.311338163999192
"13",-0.383757515077087
"14",-0.197083310037044
"15",-1.34493074107312
"16",-0.489490769368127
"17",-1.38166792994524
"18",-0.125851880520689
"19",-0.486767530068096
