"","linked_beta"
"1",-0.0222805698957695
"2",0.0575520479075134
"3",-0.21265627385711
"4",-0.22732447861558
"5",-0.12919781559331
"6",0.00155341009389054
"7",-0.0126165644548297
"8",0.0906820319545266
"9",-0.584954294346281
"10",-0.259615807328005
"11",-0.309346682362448
"12",0.160082546877019
"13",0.0887008322206716
"14",-0.159898319490357
"15",-0.195257231701597
"16",0.0222962171309969
"17",-0.645103627392065
"18",0.213250636142809
"19",-0.966655568503883
