"","linked_alpha"
"1",1.48009928406745
"2",0.682654735704021
"3",1.56841033162106
"4",1.40394555395657
"5",2.42129917112344
"6",0.904796651543033
"7",2.03905945335508
"8",2.30539407356258
"9",1.65855526823095
"10",1.17338798449818
"11",2.59336177515279
"12",1.54692330273265
"13",1.03064741496255
"14",1.51057915019228
"15",1.07966915521901
"16",1.05062461489073
"17",1.27989904088381
"18",1.17778553292405
"19",1.85962242072805
