"","linked_theta"
"1",0.983998579072512
"2",1.72620774461102
"3",1.07838766717348
"4",0.667432887953863
"5",0.71292175592447
"6",0.903190453195467
"7",-0.269356277288128
"8",0.364396843943639
"9",-0.695095486347457
"10",0.76879968772667
"11",1.08601750070634
"12",0.0225512170288431
"13",-0.159335469266837
"14",0.959798548298201
"15",1.03984681927147
"16",0.939095924746834
"17",0.584725233488277
"18",0.792370745249576
"19",0.591311043624387
"20",0.202314770160849
"21",-0.0597828655508473
"22",1.03271612897032
"23",0.538333885915308
"24",-0.0333950317048719
"25",1.61460951293973
"26",0.610869628544744
"27",0.327049755203922
"28",0.69460867691601
"29",0.0647211060370152
"30",1.29222982884716
"31",0.13956646556475
"32",1.14943229460706
"33",1.28780791246401
"34",1.06663612495421
"35",1.27781853442701
"36",0.401829841871776
"37",0.63194816267383
"38",0.345242014022854
"39",1.28040716632635
"40",0.85790506850802
"41",1.7671543696912
"42",0.241530061444669
"43",1.08988394110415
"44",0.427432474655634
"45",0.917448165550375
"46",0.253998119679654
"47",-1.0532134649404
"48",0.673445613738277
"49",1.79137438714884
"50",0.738060237818166
"51",1.32674949503543
"52",0.130484594586027
"53",0.0683113379230415
"54",0.104598263676247
"55",0.49363936029004
"56",0.711046575837335
"57",1.29525034138321
"58",0.132385146990886
"59",1.29711792553062
"60",-0.411961499881807
"61",-1.1591177351533
"62",0.731980767320471
"63",0.783761219345217
"64",-1.01991182036971
"65",-0.582304312610037
"66",0.519954163128418
"67",-0.0817019140114501
"68",1.13849430110321
"69",1.06635329964321
"70",0.261369248842137
"71",-0.0438599869565173
"72",1.79936189719888
"73",0.179295344590219
"74",0.184788660110569
"75",0.160712942433308
"76",1.15075700207526
"77",0.714821832641942
"78",0.990218523348009
"79",0.512123314784476
"80",0.417364817273648
"81",-0.0374376381931595
"82",-0.187948485154105
"83",0.163850901613455
"84",0.0191543514449118
"85",0.740340217488395
"86",1.81368204197953
"87",-1.6096085501056
"88",0.241543663725468
"89",0.341525946209517
"90",0.396740393024214
"91",1.15139113936897
"92",1.13475735370041
"93",1.08807685660198
"94",0.305539151351041
"95",1.66085759876161
"96",1.53310951107831
"97",0.85425529857487
"98",1.16468875156211
"99",0.90025733199659
"100",1.21482908001749
"101",1.24882610133006
"102",0.498847397002309
"103",0.286422178885029
"104",0.0503395334446335
"105",-0.428603259940974
"106",-0.0953591024056351
"107",0.541168752595283
"108",0.810095103420179
"109",-0.0994816433318859
"110",0.23297070433274
"111",-0.190189669786905
"112",0.0305253600370055
"113",-0.00792518614423032
"114",0.0584177117206016
"115",0.704602780040868
"116",1.59597650279895
"117",1.57254214036688
"118",-0.558468154099242
"119",0.510756376602521
"120",0.842595448399944
"121",0.320877646462444
"122",1.15140316470523
"123",0.017335978858225
"124",1.0495899857502
"125",0.564334555507792
"126",1.47410872031119
"127",1.32972213840604
"128",1.06622346691124
"129",1.0742372840912
"130",0.996142106489306
"131",0.08502081880861
"132",0.258885408375597
"133",-0.450284556261648
"134",0.807717129888549
"135",-0.284730064665081
"136",0.781453459639456
"137",1.09520028025569
"138",0.680235116105144
"139",-0.823869646253192
"140",1.34655103582278
"141",0.612785630087162
"142",1.38084136063262
"143",0.602765804089929
"144",0.163981703048443
"145",0.403020422994467
"146",1.11928979460824
"147",-0.981339085650975
"148",0.523530311360243
"149",1.76576937869636
"150",0.259813102636482
"151",0.57682073470328
"152",0.500214639934921
"153",-0.368931669079905
"154",1.03028745048214
"155",1.21048135262307
"156",0.490311322282834
"157",-0.194908279370068
"158",0.383797216742946
"159",1.42872138600322
"160",-0.590358959781741
"161",-0.419278943366401
"162",0.842783766646348
"163",0.57946194070518
"164",1.04900596691013
"165",-0.15363536663232
"166",0.509360160695366
"167",0.26188546104303
"168",1.38652148503743
"169",1.19000334150104
"170",-0.389189942050795
"171",-0.0281602007775796
"172",-0.54177775923903
"173",1.01250131468671
"174",0.125221277507375
"175",-0.963838579371621
"176",1.50368823612925
"177",-0.484037319973288
"178",0.099717606629535
"179",-1.68751408520902
"180",-0.0146678274545722
"181",1.26064690621786
"182",0.775145126116372
"183",0.968967788331628
"184",1.07452894168497
"185",0.653753694946189
"186",0.496205606609851
"187",0.640770518112154
"188",0.126760653470603
"189",-0.68875375414991
"190",0.00335589316862828
"191",1.43285424521466
"192",1.08416073322416
"193",0.0941598686969167
"194",1.73145282765854
"195",1.3802776445169
"196",-1.06144063819062
