"","theta"
"1",0.562061611573577
"2",1.45753073829119
"3",0.675941253887239
"4",0.180127763088832
"5",0.235009700375955
"6",0.46456728615885
"7",-0.95010049959926
"8",-0.185482679752993
"9",-1.46375128087087
"10",0.302425955950484
"11",0.685146583985408
"12",-0.597916558528295
"13",-0.817361318443891
"14",0.532864477625105
"15",0.629442044478083
"16",0.507886936127277
"17",0.0803416723802585
"18",0.330864238951925
"19",0.0882873970157539
"20",-0.381033340949084
"21",-0.697251937893003
"22",0.620838926498214
"23",0.0243709010300023
"24",-0.665415237907116
"25",1.32288840874597
"26",0.111884665510488
"27",-0.230541628755509
"28",0.212915124306797
"29",-0.547038941493576
"30",0.933940026551815
"31",-0.456738643616576
"32",0.761656000403159
"33",0.928605021561459
"34",0.66176311686431
"35",0.916552920829515
"36",-0.140320082035932
"37",0.137315739964231
"38",-0.208592821230624
"39",0.919676083482199
"40",0.409930849744437
"41",1.50693249766717
"42",-0.333720421262326
"43",0.68981141186317
"44",-0.10943072053903
"45",0.481769096408899
"46",-0.31867781368223
"47",-1.89581761532502
"48",0.187382066265558
"49",1.53615374538127
"50",0.265339067720835
"51",0.975587713984739
"52",-0.46769584470204
"53",-0.542707356866268
"54",-0.498927485605969
"55",-0.0295526688866772
"56",0.232747311344627
"57",0.937584249566675
"58",-0.465402844182401
"59",0.939837474160498
"60",-1.12215250336114
"61",-2.02359022817656
"62",0.258004237607916
"63",0.320476918232926
"64",-1.85563946074735
"65",-1.32766967673867
"66",0.00219591980170381
"67",-0.723697085830857
"68",0.74845940307492
"69",0.661421890501159
"70",-0.309784608234865
"71",-0.67804111855564
"72",1.54579060919441
"73",-0.408806084631544
"74",-0.402178445577501
"75",-0.431225596818101
"76",0.763254248841451
"77",0.237302126982755
"78",0.569565922120013
"79",-0.00725193297834197
"80",-0.121577264643478
"81",-0.670292608693966
"82",-0.85188268188022
"83",-0.427439675413205
"84",-0.602014848335607
"85",0.268089844050513
"86",1.56306774364194
"87",-2.56710361414634
"88",-0.333704010224746
"89",-0.213076225847729
"90",-0.146460459340076
"91",0.764019330162162
"92",0.743950807408441
"93",0.687631179583379
"94",-0.256493991703401
"95",1.37868633599634
"96",1.224559340765
"97",0.405527432963149
"98",0.780062787627929
"99",0.46102850005856
"100",0.840556672936794
"101",0.881573793715252
"102",-0.0232692163194153
"103",-0.279558458479697
"104",-0.56439018808022
"105",-1.14223064715018
"106",-0.740174368964225
"107",0.0277911438781713
"108",0.352248528273042
"109",-0.745148179979357
"110",-0.34404721375447
"111",-0.854586652322959
"112",-0.588295821938954
"113",-0.634686083080158
"114",-0.55464393381374
"115",0.224972925817574
"116",1.30040783845177
"117",1.27213447692975
"118",-1.2989115516211
"119",-0.00890113241821168
"120",0.39145992162189
"121",-0.237988226131772
"122",0.764033838629393
"123",-0.604208699594593
"124",0.641197093032143
"125",0.0557404905946399
"126",1.15337538206847
"127",0.979174183253392
"128",0.661265248400098
"129",0.670933851544612
"130",0.57671267544625
"131",-0.52254750846875
"132",-0.312781340903701
"133",-1.16838894912735
"134",0.349379523172328
"135",-0.968648844992966
"136",0.317692625523616
"137",0.69622553041412
