"","alpha_r"
"1",1.22677959715776
"2",0.56581805739638
"3",1.29997616748828
"4",1.16365961368561
"5",2.00689268194651
"6",0.749940280113716
"7",1.69007347121565
"8",1.91082479621422
"9",1.37469275590267
"10",0.972562080414351
"11",2.14950669056691
"12",1.28216665367553
"13",0.854251626326592
"14",1.25204281989461
"15",0.894883272737854
"16",0.870809719114049
"17",1.06084371952611
"18",0.976206986363866
"19",1.54134717091204
